                                                                                                                     
{'loss_mask': 15.293500900268555, 'loss_dice': 49.03455352783203, 'loss_llm': 6.03125, 'loss_attention': 2.7612500190734863, 'epoch': 0.0}
{'loss': 94.2966, 'grad_norm': 491.19928794585564, 'learning_rate': 8.88888888888889e-06, 'epoch': 0.0}
{'loss_mask': 64.66570281982422, 'loss_dice': 48.96414566040039, 'loss_llm': 5.84375, 'loss_attention': 2.792187452316284, 'epoch': 0.0}
{'loss_mask': 44.46417236328125, 'loss_dice': 49.10666275024414, 'loss_llm': 5.5625, 'loss_attention': 2.8324999809265137, 'epoch': 0.0}
{'loss_mask': 2.9115962982177734, 'loss_dice': 48.279930114746094, 'loss_llm': 6.03125, 'loss_attention': 2.7274999618530273, 'epoch': 0.0}
{'loss_mask': 28.627544403076172, 'loss_dice': 49.892616271972656, 'loss_llm': 6.5, 'loss_attention': 2.9921875, 'epoch': 0.0}
{'loss_mask': 21.191919326782227, 'loss_dice': 49.659461975097656, 'loss_llm': 6.71875, 'loss_attention': 2.817499876022339, 'epoch': 0.0}
{'loss_mask': 32.54667282104492, 'loss_dice': 47.29971694946289, 'loss_llm': 6.34375, 'loss_attention': 2.6812498569488525, 'epoch': 0.0}
{'loss_mask': 65.90484619140625, 'loss_dice': 45.45600891113281, 'loss_llm': 5.53125, 'loss_attention': 2.4774999618530273, 'epoch': 0.0}
{'loss_mask': 12.412409782409668, 'loss_dice': 49.76350784301758, 'loss_llm': 6.59375, 'loss_attention': 2.75, 'epoch': 0.0}
{'loss_mask': 9.529962539672852, 'loss_dice': 49.35602569580078, 'loss_llm': 6.21875, 'loss_attention': 2.799062490463257, 'epoch': 0.0}
{'loss_mask': 69.7439956665039, 'loss_dice': 44.577964782714844, 'loss_llm': 6.46875, 'loss_attention': 2.6796875, 'epoch': 0.0}
{'loss': 92.3717, 'grad_norm': 2785.437371681959, 'learning_rate': 1.1111111111111112e-05, 'epoch': 0.0}
{'loss_mask': 2.5773415565490723, 'loss_dice': 49.60277557373047, 'loss_llm': 5.03125, 'loss_attention': 2.6796875, 'epoch': 0.0}
{'loss_mask': 14.540120124816895, 'loss_dice': 49.539615631103516, 'loss_llm': 6.1875, 'loss_attention': 2.575976610183716, 'epoch': 0.0}
{'loss_mask': 5.683701992034912, 'loss_dice': 42.87705612182617, 'loss_llm': 6.28125, 'loss_attention': 2.789374828338623, 'epoch': 0.0}
{'loss_mask': 35.18216323852539, 'loss_dice': 47.471351623535156, 'loss_llm': 5.46875, 'loss_attention': 2.786562442779541, 'epoch': 0.0}
{'loss_mask': 19.55376434326172, 'loss_dice': 45.095069885253906, 'loss_llm': 5.90625, 'loss_attention': 2.8637499809265137, 'epoch': 0.0}
{'loss_mask': 53.58111572265625, 'loss_dice': 49.986209869384766, 'loss_llm': 5.59375, 'loss_attention': 1.6996874809265137, 'epoch': 0.0}
{'loss_mask': 29.01870346069336, 'loss_dice': 49.680152893066406, 'loss_llm': 6.15625, 'loss_attention': 2.7846875190734863, 'epoch': 0.0}
{'loss_mask': 29.947296142578125, 'loss_dice': 49.5312614440918, 'loss_llm': 5.28125, 'loss_attention': 2.7959375381469727, 'epoch': 0.0}
{'loss_mask': 4.5189127922058105, 'loss_dice': 49.899261474609375, 'loss_llm': 6.5, 'loss_attention': 2.765937328338623, 'epoch': 0.0}
{'loss_mask': 2.8228468894958496, 'loss_dice': 49.78170394897461, 'loss_llm': 5.65625, 'loss_attention': 2.765937328338623, 'epoch': 0.0}
{'loss': 76.0015, 'grad_norm': 207.93320786518316, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.0}
{'loss_mask': 14.326679229736328, 'loss_dice': 48.0914421081543, 'loss_llm': 6.15625, 'loss_attention': 3.020624876022339, 'epoch': 0.0}
{'loss_mask': 4.901383876800537, 'loss_dice': 49.741493225097656, 'loss_llm': 5.09375, 'loss_attention': 2.778749942779541, 'epoch': 0.01}
{'loss_mask': 6.506613731384277, 'loss_dice': 47.55918884277344, 'loss_llm': 5.34375, 'loss_attention': 2.9315624237060547, 'epoch': 0.01}
{'loss_mask': 22.936908721923828, 'loss_dice': 49.62846374511719, 'loss_llm': 4.8125, 'loss_attention': 2.81499981880188, 'epoch': 0.01}
{'loss_mask': 11.864384651184082, 'loss_dice': 49.906883239746094, 'loss_llm': 5.0625, 'loss_attention': 2.9774999618530273, 'epoch': 0.01}
{'loss_mask': 21.59189796447754, 'loss_dice': 45.084693908691406, 'loss_llm': 5.40625, 'loss_attention': 2.7903125286102295, 'epoch': 0.01}
{'loss_mask': 2.0639514923095703, 'loss_dice': 48.57905197143555, 'loss_llm': 5.40625, 'loss_attention': 2.736875057220459, 'epoch': 0.01}
{'loss_mask': 16.75394630432129, 'loss_dice': 43.503055572509766, 'loss_llm': 5.5625, 'loss_attention': 2.8087499141693115, 'epoch': 0.01}
{'loss_mask': 38.43491744995117, 'loss_dice': 48.24278259277344, 'loss_llm': 5.5625, 'loss_attention': 2.796562433242798, 'epoch': 0.01}
{'loss_mask': 12.184137344360352, 'loss_dice': 49.19834899902344, 'loss_llm': 5.0, 'loss_attention': 2.781874895095825, 'epoch': 0.01}
{'loss': 71.2944, 'grad_norm': 369.9144425731696, 'learning_rate': 1.5555555555555555e-05, 'epoch': 0.01}
{'loss_mask': 17.985519409179688, 'loss_dice': 48.13672637939453, 'loss_llm': 4.71875, 'loss_attention': 2.77593731880188, 'epoch': 0.01}
{'loss_mask': 21.574106216430664, 'loss_dice': 49.97368621826172, 'loss_llm': 4.75, 'loss_attention': 1.247109293937683, 'epoch': 0.01}
{'loss_mask': 11.69054126739502, 'loss_dice': 40.952003479003906, 'loss_llm': 4.625, 'loss_attention': 2.866874933242798, 'epoch': 0.01}
