                                                                                                                            
{'loss_mask': 5.878943920135498, 'loss_dice': 49.79909896850586, 'loss_llm': 6.375, 'loss_attention': 3.140937328338623, 'epoch': 0.01}
{'loss': 82.5916, 'grad_norm': 793.0295426204183, 'learning_rate': 2.666666666666667e-06, 'epoch': 0.01}
{'loss_mask': 1.0510448217391968, 'loss_dice': 47.39618682861328, 'loss_llm': 6.96875, 'loss_attention': 3.140937328338623, 'epoch': 0.01}
{'loss_mask': 38.08713150024414, 'loss_dice': 32.45625305175781, 'loss_llm': 6.15625, 'loss_attention': 2.716249942779541, 'epoch': 0.01}
{'loss_mask': 4.085624694824219, 'loss_dice': 49.188255310058594, 'loss_llm': 7.0, 'loss_attention': 2.865000009536743, 'epoch': 0.01}
{'loss_mask': 7.161212921142578, 'loss_dice': 49.847599029541016, 'loss_llm': 6.65625, 'loss_attention': 2.822499990463257, 'epoch': 0.01}
{'loss_mask': 75.29446411132812, 'loss_dice': 47.3915901184082, 'loss_llm': 6.9375, 'loss_attention': 2.5846874713897705, 'epoch': 0.01}
{'loss_mask': 92.74674224853516, 'loss_dice': 39.98688888549805, 'loss_llm': 6.1875, 'loss_attention': 2.742812395095825, 'epoch': 0.01}
{'loss_mask': 37.9931640625, 'loss_dice': 48.12432861328125, 'loss_llm': 6.53125, 'loss_attention': 2.656562328338623, 'epoch': 0.01}
{'loss_mask': 12.290825843811035, 'loss_dice': 49.8916015625, 'loss_llm': 5.875, 'loss_attention': 2.736562490463257, 'epoch': 0.01}
{'loss_mask': 44.95502853393555, 'loss_dice': 49.05256652832031, 'loss_llm': 6.21875, 'loss_attention': 2.8671875, 'epoch': 0.01}
{'loss_mask': 19.565521240234375, 'loss_dice': 41.455379486083984, 'loss_llm': 6.15625, 'loss_attention': 2.919062376022339, 'epoch': 0.01}
{'loss': 90.9916, 'grad_norm': 1019.2587782458634, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.01}
{'loss_mask': 4.441892623901367, 'loss_dice': 49.84157180786133, 'loss_llm': 5.625, 'loss_attention': 2.8634374141693115, 'epoch': 0.01}
{'loss_mask': 144.63455200195312, 'loss_dice': 49.260093688964844, 'loss_llm': 6.1875, 'loss_attention': 2.5871875286102295, 'epoch': 0.01}
{'loss_mask': 25.222919464111328, 'loss_dice': 49.42002868652344, 'loss_llm': 7.125, 'loss_attention': 2.802187442779541, 'epoch': 0.01}
{'loss_mask': 3.226015090942383, 'loss_dice': 49.69710922241211, 'loss_llm': 5.96875, 'loss_attention': 2.8118748664855957, 'epoch': 0.01}
{'loss_mask': 2.174870729446411, 'loss_dice': 49.44912338256836, 'loss_llm': 6.03125, 'loss_attention': 2.789687395095825, 'epoch': 0.01}
{'loss_mask': 19.405715942382812, 'loss_dice': 48.26075744628906, 'loss_llm': 6.5625, 'loss_attention': 2.8996875286102295, 'epoch': 0.01}
