                                                                                                                                                                                  
{'loss_mask': 80.63670349121094, 'loss_dice': 49.66835403442383, 'loss_llm': 6.3125, 'loss_attention': 2.900624990463257, 'epoch': 0.0}
{'loss_mask': 17.308345794677734, 'loss_dice': 49.638145446777344, 'loss_llm': 6.34375, 'loss_attention': 2.7596874237060547, 'epoch': 0.0}
{'loss': 91.2053, 'grad_norm': 818.0721472376, 'learning_rate': 2.666666666666667e-06, 'epoch': 0.0}
{'loss_mask': 36.23609161376953, 'loss_dice': 46.662254333496094, 'loss_llm': 6.1875, 'loss_attention': 2.7925000190734863, 'epoch': 0.0}
{'loss_mask': 41.32181167602539, 'loss_dice': 48.51870346069336, 'loss_llm': 5.90625, 'loss_attention': 2.833750009536743, 'epoch': 0.0}
{'loss_mask': 4.041274070739746, 'loss_dice': 49.57244110107422, 'loss_llm': 6.375, 'loss_attention': 2.729687452316284, 'epoch': 0.0}
{'loss_mask': 27.239439010620117, 'loss_dice': 49.72669219970703, 'loss_llm': 6.9375, 'loss_attention': 2.9884374141693115, 'epoch': 0.0}
{'loss_mask': 6.5624871253967285, 'loss_dice': 49.78170394897461, 'loss_llm': 7.15625, 'loss_attention': 2.817187547683716, 'epoch': 0.0}
{'loss_mask': 27.88865852355957, 'loss_dice': 44.786903381347656, 'loss_llm': 6.8125, 'loss_attention': 2.6815624237060547, 'epoch': 0.0}
{'loss_mask': 74.83241271972656, 'loss_dice': 41.006439208984375, 'loss_llm': 5.9375, 'loss_attention': 2.479062557220459, 'epoch': 0.0}
{'loss_mask': 11.070281982421875, 'loss_dice': 49.76875686645508, 'loss_llm': 7.0, 'loss_attention': 2.7487499713897705, 'epoch': 0.0}
{'loss_mask': 7.767784118652344, 'loss_dice': 49.594337463378906, 'loss_llm': 6.59375, 'loss_attention': 2.796562433242798, 'epoch': 0.0}
{'loss_mask': 36.16828536987305, 'loss_dice': 43.94212341308594, 'loss_llm': 7.0, 'loss_attention': 2.679999828338623, 'epoch': 0.0}
{'loss': 83.9943, 'grad_norm': 1116.136315774478, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.0}
{'loss_mask': 1.6249498128890991, 'loss_dice': 49.40284729003906, 'loss_llm': 5.5, 'loss_attention': 2.679999828338623, 'epoch': 0.0}
{'loss_mask': 50.69169616699219, 'loss_dice': 49.915626525878906, 'loss_llm': 6.65625, 'loss_attention': 2.5771191120147705, 'epoch': 0.0}
{'loss_mask': 4.202653408050537, 'loss_dice': 41.23290252685547, 'loss_llm': 6.8125, 'loss_attention': 2.7981250286102295, 'epoch': 0.0}
