                                                                                                                      
{'loss_mask': 12.49044418334961, 'loss_dice': 49.26266860961914, 'loss_llm': 6.0625, 'loss_attention': 2.7612500190734863, 'epoch': 0.0}
{'loss': 107.0438, 'grad_norm': 500.9276511820344, 'learning_rate': 8.88888888888889e-06, 'epoch': 0.0}
{'loss_mask': 19.93455696105957, 'loss_dice': 20.934419631958008, 'loss_llm': 5.875, 'loss_attention': 2.794999837875366, 'epoch': 0.0}
{'loss_mask': 32.80769348144531, 'loss_dice': 46.447608947753906, 'loss_llm': 5.59375, 'loss_attention': 2.8324999809265137, 'epoch': 0.0}
{'loss_mask': 7.653763294219971, 'loss_dice': 49.619449615478516, 'loss_llm': 6.0, 'loss_attention': 2.7303123474121094, 'epoch': 0.0}
{'loss_mask': 26.155000686645508, 'loss_dice': 49.950340270996094, 'loss_llm': 6.46875, 'loss_attention': 2.9831249713897705, 'epoch': 0.0}
{'loss_mask': 9.487905502319336, 'loss_dice': 49.88636016845703, 'loss_llm': 6.75, 'loss_attention': 2.8159375190734863, 'epoch': 0.0}
{'loss_mask': 16.626062393188477, 'loss_dice': 49.395267486572266, 'loss_llm': 6.34375, 'loss_attention': 2.684687376022339, 'epoch': 0.0}
{'loss_mask': 119.58926391601562, 'loss_dice': 49.86863327026367, 'loss_llm': 5.5, 'loss_attention': 2.4784374237060547, 'epoch': 0.0}
{'loss_mask': 12.584430694580078, 'loss_dice': 49.8115348815918, 'loss_llm': 6.5625, 'loss_attention': 2.75, 'epoch': 0.0}
{'loss_mask': 6.79279899597168, 'loss_dice': 48.86855697631836, 'loss_llm': 6.1875, 'loss_attention': 2.7984373569488525, 'epoch': 0.0}
{'loss_mask': 74.19828033447266, 'loss_dice': 45.453250885009766, 'loss_llm': 6.46875, 'loss_attention': 2.680312395095825, 'epoch': 0.0}
{'loss': 87.7258, 'grad_norm': 2613.343533076928, 'learning_rate': 1.1111111111111112e-05, 'epoch': 0.0}
{'loss_mask': 2.12145733833313, 'loss_dice': 48.908050537109375, 'loss_llm': 5.03125, 'loss_attention': 2.680312395095825, 'epoch': 0.0}
{'loss_mask': 14.075187683105469, 'loss_dice': 49.549034118652344, 'loss_llm': 6.1875, 'loss_attention': 2.5746095180511475, 'epoch': 0.0}
{'loss_mask': 8.628255844116211, 'loss_dice': 49.896575927734375, 'loss_llm': 6.28125, 'loss_attention': 2.8006248474121094, 'epoch': 0.0}
{'loss_mask': 7.250865936279297, 'loss_dice': 48.873416900634766, 'loss_llm': 5.5, 'loss_attention': 2.7899999618530273, 'epoch': 0.0}
{'loss_mask': 1.3343945741653442, 'loss_dice': 7.748876094818115, 'loss_llm': 5.90625, 'loss_attention': 2.8581249713897705, 'epoch': 0.0}
{'loss_mask': 38.09417724609375, 'loss_dice': 49.855777740478516, 'loss_llm': 5.625, 'loss_attention': 1.695839762687683, 'epoch': 0.0}
{'loss_mask': 27.93496322631836, 'loss_dice': 49.48414611816406, 'loss_llm': 6.125, 'loss_attention': 2.7890625, 'epoch': 0.0}
{'loss_mask': 16.938745498657227, 'loss_dice': 48.04966354370117, 'loss_llm': 5.25, 'loss_attention': 2.7981250286102295, 'epoch': 0.0}
{'loss_mask': 3.4709784984588623, 'loss_dice': 49.7634391784668, 'loss_llm': 6.46875, 'loss_attention': 2.7696874141693115, 'epoch': 0.0}
{'loss_mask': 10.686284065246582, 'loss_dice': 49.93230056762695, 'loss_llm': 5.6875, 'loss_attention': 2.7696874141693115, 'epoch': 0.0}
{'loss': 66.3647, 'grad_norm': 543.6224976230058, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.0}
{'loss_mask': 17.224573135375977, 'loss_dice': 48.386287689208984, 'loss_llm': 6.125, 'loss_attention': 3.0271873474121094, 'epoch': 0.0}
{'loss_mask': 13.346689224243164, 'loss_dice': 44.902503967285156, 'loss_llm': 5.09375, 'loss_attention': 2.7849998474121094, 'epoch': 0.01}
{'loss_mask': 7.98067569732666, 'loss_dice': 49.78205871582031, 'loss_llm': 5.375, 'loss_attention': 2.93218731880188, 'epoch': 0.01}
{'loss_mask': 11.980156898498535, 'loss_dice': 48.9486083984375, 'loss_llm': 4.8125, 'loss_attention': 2.8159375190734863, 'epoch': 0.01}
{'loss_mask': 3.726536512374878, 'loss_dice': 39.50510025024414, 'loss_llm': 5.09375, 'loss_attention': 2.9703123569488525, 'epoch': 0.01}
{'loss_mask': 27.475614547729492, 'loss_dice': 34.91019058227539, 'loss_llm': 5.40625, 'loss_attention': 2.789687395095825, 'epoch': 0.01}
{'loss_mask': 1.869809865951538, 'loss_dice': 49.47883605957031, 'loss_llm': 5.40625, 'loss_attention': 2.7353124618530273, 'epoch': 0.01}
{'loss_mask': 14.349930763244629, 'loss_dice': 49.69722366333008, 'loss_llm': 5.53125, 'loss_attention': 2.80718731880188, 'epoch': 0.01}
{'loss_mask': 18.730724334716797, 'loss_dice': 48.76161575317383, 'loss_llm': 5.53125, 'loss_attention': 2.7953124046325684, 'epoch': 0.01}
{'loss_mask': 23.889177322387695, 'loss_dice': 48.016258239746094, 'loss_llm': 5.0, 'loss_attention': 2.781562328338623, 'epoch': 0.01}
{'loss': 68.6607, 'grad_norm': 1277.9372478236166, 'learning_rate': 1.5555555555555555e-05, 'epoch': 0.01}
{'loss_mask': 32.950416564941406, 'loss_dice': 45.95233917236328, 'loss_llm': 4.6875, 'loss_attention': 2.776249885559082, 'epoch': 0.01}
{'loss_mask': 3.2619810104370117, 'loss_dice': 49.848968505859375, 'loss_llm': 4.8125, 'loss_attention': 1.2374999523162842, 'epoch': 0.01}
{'loss_mask': 15.469612121582031, 'loss_dice': 42.75907897949219, 'loss_llm': 4.65625, 'loss_attention': 2.865312337875366, 'epoch': 0.01}
{'loss_mask': 6.424563407897949, 'loss_dice': 48.93775177001953, 'loss_llm': 4.96875, 'loss_attention': 3.1468749046325684, 'epoch': 0.01}
{'loss_mask': 63.616031646728516, 'loss_dice': 41.17719650268555, 'loss_llm': 5.09375, 'loss_attention': 2.7071874141693115, 'epoch': 0.01}
