                                                                                                                           
{'loss_mask': 8.048314094543457, 'loss_dice': 49.11823272705078, 'loss_llm': 2.125, 'loss_attention': 3.1229686737060547, 'epoch': 0.0}
{'loss': 68.1044, 'grad_norm': 229.71461428501516, 'learning_rate': 8.88888888888889e-06, 'epoch': 0.0}
{'loss_mask': 65.95366668701172, 'loss_dice': 49.81954574584961, 'loss_llm': 5.34375, 'loss_attention': 2.5374999046325684, 'epoch': 0.0}
{'loss_mask': 40.49867248535156, 'loss_dice': 48.58098602294922, 'loss_llm': 4.21875, 'loss_attention': 2.9703123569488525, 'epoch': 0.0}
{'loss_mask': 21.047264099121094, 'loss_dice': 49.91816329956055, 'loss_llm': 3.53125, 'loss_attention': 3.15093731880188, 'epoch': 0.0}
{'loss_mask': 2.670243740081787, 'loss_dice': 49.089073181152344, 'loss_llm': 4.125, 'loss_attention': 2.9828124046325684, 'epoch': 0.0}
{'loss_mask': 39.07331848144531, 'loss_dice': 49.85752487182617, 'loss_llm': 5.28125, 'loss_attention': 2.939687490463257, 'epoch': 0.0}
{'loss_mask': 6.185557842254639, 'loss_dice': 47.93669509887695, 'loss_llm': 4.59375, 'loss_attention': 2.9765625, 'epoch': 0.0}
{'loss_mask': 56.534645080566406, 'loss_dice': 42.12553024291992, 'loss_llm': 4.53125, 'loss_attention': 2.9209375381469727, 'epoch': 0.01}
{'loss_mask': 16.3782901763916, 'loss_dice': 46.302040100097656, 'loss_llm': 4.84375, 'loss_attention': 2.9209375381469727, 'epoch': 0.01}
{'loss_mask': 17.614110946655273, 'loss_dice': 49.723609924316406, 'loss_llm': 2.484375, 'loss_attention': 3.06083345413208, 'epoch': 0.01}
{'loss_mask': 11.956742286682129, 'loss_dice': 49.36146545410156, 'loss_llm': 4.0625, 'loss_attention': 2.950000047683716, 'epoch': 0.01}
{'loss': 83.0132, 'grad_norm': 306.29238187287547, 'learning_rate': 1.1111111111111112e-05, 'epoch': 0.01}
{'loss_mask': 4.392187118530273, 'loss_dice': 49.71584701538086, 'loss_llm': 5.09375, 'loss_attention': 3.043750047683716, 'epoch': 0.01}
{'loss_mask': 13.391292572021484, 'loss_dice': 49.196563720703125, 'loss_llm': 5.125, 'loss_attention': 2.880937337875366, 'epoch': 0.01}
{'loss_mask': 52.0518684387207, 'loss_dice': 49.850040435791016, 'loss_llm': 3.3125, 'loss_attention': 2.9532811641693115, 'epoch': 0.01}
{'loss_mask': 30.13141632080078, 'loss_dice': 49.7745475769043, 'loss_llm': 5.59375, 'loss_attention': 2.0445311069488525, 'epoch': 0.01}
{'loss_mask': 10.725152969360352, 'loss_dice': 49.396968841552734, 'loss_llm': 5.0, 'loss_attention': 2.943437337875366, 'epoch': 0.01}
{'loss_mask': 1.5209619998931885, 'loss_dice': 47.921852111816406, 'loss_llm': 3.34375, 'loss_attention': 3.116406202316284, 'epoch': 0.01}
{'loss_mask': 3.6699018478393555, 'loss_dice': 49.77263259887695, 'loss_llm': 3.296875, 'loss_attention': 3.0956249237060547, 'epoch': 0.01}
{'loss_mask': 5.8000688552856445, 'loss_dice': 49.277809143066406, 'loss_llm': 3.609375, 'loss_attention': 3.0565624237060547, 'epoch': 0.01}
{'loss_mask': 6.677465438842773, 'loss_dice': 49.447235107421875, 'loss_llm': 4.8125, 'loss_attention': 3.0306248664855957, 'epoch': 0.01}
{'loss_mask': 1.616649866104126, 'loss_dice': 48.123069763183594, 'loss_llm': 2.65625, 'loss_attention': 1.983853816986084, 'epoch': 0.01}
{'loss': 69.2446, 'grad_norm': 65.5308716798994, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.01}
{'loss_mask': 11.283052444458008, 'loss_dice': 43.90947341918945, 'loss_llm': 3.59375, 'loss_attention': 2.868281126022339, 'epoch': 0.01}
{'loss_mask': 2.1320979595184326, 'loss_dice': 49.092933654785156, 'loss_llm': 4.0625, 'loss_attention': 2.9703123569488525, 'epoch': 0.01}
{'loss_mask': 6.094854354858398, 'loss_dice': 49.62036895751953, 'loss_llm': 5.15625, 'loss_attention': 2.849492073059082, 'epoch': 0.01}
{'loss_mask': 23.370162963867188, 'loss_dice': 49.8502311706543, 'loss_llm': 4.75, 'loss_attention': 2.9465625286102295, 'epoch': 0.01}
{'loss_mask': 1.2872129678726196, 'loss_dice': 47.58854675292969, 'loss_llm': 3.015625, 'loss_attention': 3.0556249618530273, 'epoch': 0.01}
