                                                                                                                                                                                        
{'loss_mask': 14.684061050415039, 'loss_dice': 49.932918548583984, 'loss_llm': 6.34375, 'loss_attention': 2.7593748569488525, 'epoch': 0.0}
{'loss': 81.7976, 'grad_norm': 336.12809564165786, 'learning_rate': 2.666666666666667e-06, 'epoch': 0.0}
{'loss_mask': 26.258581161499023, 'loss_dice': 47.499664306640625, 'loss_llm': 6.1875, 'loss_attention': 2.7928123474121094, 'epoch': 0.0}
{'loss_mask': 40.02909851074219, 'loss_dice': 49.211181640625, 'loss_llm': 5.9375, 'loss_attention': 2.8350000381469727, 'epoch': 0.0}
{'loss_mask': 1.3643676042556763, 'loss_dice': 48.74791717529297, 'loss_llm': 6.34375, 'loss_attention': 2.7274999618530273, 'epoch': 0.0}
{'loss_mask': 12.830221176147461, 'loss_dice': 48.867862701416016, 'loss_llm': 6.90625, 'loss_attention': 2.986562490463257, 'epoch': 0.0}
{'loss_mask': 15.646390914916992, 'loss_dice': 49.635475158691406, 'loss_llm': 7.15625, 'loss_attention': 2.8168749809265137, 'epoch': 0.0}
{'loss_mask': 30.271625518798828, 'loss_dice': 47.774898529052734, 'loss_llm': 6.78125, 'loss_attention': 2.680312395095825, 'epoch': 0.0}
{'loss_mask': 119.01811218261719, 'loss_dice': 48.67972946166992, 'loss_llm': 5.9375, 'loss_attention': 2.4781248569488525, 'epoch': 0.0}
{'loss_mask': 11.59349536895752, 'loss_dice': 49.74250793457031, 'loss_llm': 6.96875, 'loss_attention': 2.749687433242798, 'epoch': 0.0}
{'loss_mask': 5.412853717803955, 'loss_dice': 49.461875915527344, 'loss_llm': 6.59375, 'loss_attention': 2.797187328338623, 'epoch': 0.0}
{'loss_mask': 42.44654083251953, 'loss_dice': 45.186466217041016, 'loss_llm': 7.0, 'loss_attention': 2.682812452316284, 'epoch': 0.0}
{'loss': 88.3038, 'grad_norm': 2173.012177111532, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.0}
{'loss_mask': 3.737704277038574, 'loss_dice': 49.365760803222656, 'loss_llm': 5.53125, 'loss_attention': 2.682812452316284, 'epoch': 0.0}
{'loss_mask': 14.922602653503418, 'loss_dice': 49.64659118652344, 'loss_llm': 6.6875, 'loss_attention': 2.5761961936950684, 'epoch': 0.0}
{'loss_mask': 13.763503074645996, 'loss_dice': 49.62468338012695, 'loss_llm': 6.78125, 'loss_attention': 2.791874885559082, 'epoch': 0.0}
{'loss_mask': 9.620645523071289, 'loss_dice': 49.572021484375, 'loss_llm': 6.0, 'loss_attention': 2.7846875190734863, 'epoch': 0.0}
{'loss_mask': 34.84425735473633, 'loss_dice': 49.71015167236328, 'loss_llm': 6.5, 'loss_attention': 2.86187481880188, 'epoch': 0.0}
{'loss_mask': 27.580036163330078, 'loss_dice': 49.95619583129883, 'loss_llm': 6.28125, 'loss_attention': 1.6989550590515137, 'epoch': 0.0}
{'loss_mask': 31.689311981201172, 'loss_dice': 49.792762756347656, 'loss_llm': 6.71875, 'loss_attention': 2.788749933242798, 'epoch': 0.0}
{'loss_mask': 28.569978713989258, 'loss_dice': 49.406654357910156, 'loss_llm': 5.8125, 'loss_attention': 2.796875, 'epoch': 0.0}
{'loss_mask': 5.202175140380859, 'loss_dice': 49.88729476928711, 'loss_llm': 7.21875, 'loss_attention': 2.770624876022339, 'epoch': 0.0}
{'loss_mask': 3.877113103866577, 'loss_dice': 49.75815200805664, 'loss_llm': 6.3125, 'loss_attention': 2.770624876022339, 'epoch': 0.0}
{'loss': 75.5441, 'grad_norm': 658.2119971583053, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.0}
{'loss_mask': 10.827569007873535, 'loss_dice': 48.34539031982422, 'loss_llm': 6.875, 'loss_attention': 3.0171873569488525, 'epoch': 0.0}
{'loss_mask': 3.459958076477051, 'loss_dice': 49.539093017578125, 'loss_llm': 5.6875, 'loss_attention': 2.781562328338623, 'epoch': 0.01}
