                                                                                                                       
{'loss_mask': 36.08232879638672, 'loss_dice': 49.063072204589844, 'loss_llm': 5.90625, 'loss_attention': 0.0, 'loss_itaa': 0.0527130551636219, 'epoch': 0.0}
{'loss_mask': 69.99312591552734, 'loss_dice': 47.8502311706543, 'loss_llm': 5.71875, 'loss_attention': 0.0, 'loss_itaa': 0.0564553402364254, 'epoch': 0.0}
{'loss_mask': 5.401271343231201, 'loss_dice': 49.03633117675781, 'loss_llm': 6.4375, 'loss_attention': 0.0, 'loss_itaa': 0.05528455972671509, 'epoch': 0.0}
{'loss_mask': 59.44682312011719, 'loss_dice': 48.45900344848633, 'loss_llm': 6.6875, 'loss_attention': 0.0, 'loss_itaa': 0.05528249591588974, 'epoch': 0.0}
{'loss_mask': 46.97747039794922, 'loss_dice': 44.60212326049805, 'loss_llm': 5.625, 'loss_attention': 0.0, 'loss_itaa': 0.05134382098913193, 'epoch': 0.0}
{'loss_mask': 12.89661979675293, 'loss_dice': 46.859588623046875, 'loss_llm': 6.59375, 'loss_attention': 0.0, 'loss_itaa': 0.05236123502254486, 'epoch': 0.0}
{'loss_mask': 16.846113204956055, 'loss_dice': 49.69682312011719, 'loss_llm': 6.03125, 'loss_attention': 0.0, 'loss_itaa': 0.05077828839421272, 'epoch': 0.0}
{'loss_mask': 13.691854476928711, 'loss_dice': 49.234291076660156, 'loss_llm': 6.03125, 'loss_attention': 0.0, 'loss_itaa': 0.05953303724527359, 'epoch': 0.0}
{'loss': 88.8651, 'grad_norm': 381.67023842374385, 'learning_rate': 8.88888888888889e-06, 'epoch': 0.0}
{'loss_mask': 44.64170455932617, 'loss_dice': 47.89210510253906, 'loss_llm': 5.8125, 'loss_attention': 0.0, 'loss_itaa': 0.05242984741926193, 'epoch': 0.0}
{'loss_mask': 15.270970344543457, 'loss_dice': 48.92122268676758, 'loss_llm': 5.59375, 'loss_attention': 0.0, 'loss_itaa': 0.05573292449116707, 'epoch': 0.0}
{'loss_mask': 2.4294068813323975, 'loss_dice': 48.97010803222656, 'loss_llm': 6.0, 'loss_attention': 0.0, 'loss_itaa': 0.05965198203921318, 'epoch': 0.0}
{'loss_mask': 28.13028907775879, 'loss_dice': 49.9094123840332, 'loss_llm': 6.53125, 'loss_attention': 0.0, 'loss_itaa': 0.05626078322529793, 'epoch': 0.0}
{'loss_mask': 8.734970092773438, 'loss_dice': 49.36339569091797, 'loss_llm': 6.71875, 'loss_attention': 0.0, 'loss_itaa': 0.05828838050365448, 'epoch': 0.0}
{'loss_mask': 29.63681983947754, 'loss_dice': 49.95854949951172, 'loss_llm': 6.375, 'loss_attention': 0.0, 'loss_itaa': 0.052979305386543274, 'epoch': 0.0}
{'loss_mask': 249.56106567382812, 'loss_dice': 48.24009323120117, 'loss_llm': 5.53125, 'loss_attention': 0.0, 'loss_itaa': 0.0568147636950016, 'epoch': 0.0}
{'loss_mask': 10.428498268127441, 'loss_dice': 49.691864013671875, 'loss_llm': 6.625, 'loss_attention': 0.0, 'loss_itaa': 0.05664139613509178, 'epoch': 0.0}
{'loss_mask': 5.9358439445495605, 'loss_dice': 49.12986755371094, 'loss_llm': 6.1875, 'loss_attention': 0.0, 'loss_itaa': 0.05338812619447708, 'epoch': 0.0}
{'loss_mask': 113.34526062011719, 'loss_dice': 48.24814987182617, 'loss_llm': 6.5, 'loss_attention': 0.0, 'loss_itaa': 0.05255942791700363, 'epoch': 0.0}
{'loss': 106.0869, 'grad_norm': 3450.3337044226605, 'learning_rate': 1.1111111111111112e-05, 'epoch': 0.0}
{'loss_mask': 2.012960195541382, 'loss_dice': 49.43378448486328, 'loss_llm': 5.0625, 'loss_attention': 0.0, 'loss_itaa': 0.05386712774634361, 'epoch': 0.0}
{'loss_mask': 16.551071166992188, 'loss_dice': 48.66299057006836, 'loss_llm': 6.1875, 'loss_attention': 0.0, 'loss_itaa': 0.05526883155107498, 'epoch': 0.0}
{'loss_mask': 4.394407272338867, 'loss_dice': 49.504676818847656, 'loss_llm': 6.28125, 'loss_attention': 0.0, 'loss_itaa': 0.05214078724384308, 'epoch': 0.0}
{'loss_mask': 6.491085052490234, 'loss_dice': 49.38477325439453, 'loss_llm': 5.5, 'loss_attention': 0.0, 'loss_itaa': 0.051567163318395615, 'epoch': 0.0}
{'loss_mask': 0.9096503257751465, 'loss_dice': 5.1524152755737305, 'loss_llm': 5.9375, 'loss_attention': 0.0, 'loss_itaa': 0.05059005320072174, 'epoch': 0.0}
{'loss_mask': 14.382022857666016, 'loss_dice': 49.87190628051758, 'loss_llm': 5.625, 'loss_attention': 0.0, 'loss_itaa': 0.05597805231809616, 'epoch': 0.0}
{'loss_mask': 11.535630226135254, 'loss_dice': 49.89500045776367, 'loss_llm': 6.125, 'loss_attention': 0.0, 'loss_itaa': 0.05012722313404083, 'epoch': 0.0}
{'loss_mask': 19.530471801757812, 'loss_dice': 48.690555572509766, 'loss_llm': 5.28125, 'loss_attention': 0.0, 'loss_itaa': 0.0544423907995224, 'epoch': 0.0}
{'loss_mask': 0.7477676868438721, 'loss_dice': 48.20210266113281, 'loss_llm': 6.46875, 'loss_attention': 0.0, 'loss_itaa': 0.057345591485500336, 'epoch': 0.0}
{'loss_mask': 3.08854341506958, 'loss_dice': 49.345741271972656, 'loss_llm': 5.71875, 'loss_attention': 0.0, 'loss_itaa': 0.06125131621956825, 'epoch': 0.0}
{'loss': 58.6518, 'grad_norm': 213.01991945352052, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.0}
{'loss_mask': 13.723026275634766, 'loss_dice': 49.62853240966797, 'loss_llm': 6.125, 'loss_attention': 0.0, 'loss_itaa': 0.05619224160909653, 'epoch': 0.0}
{'loss_mask': 4.894792556762695, 'loss_dice': 49.22630310058594, 'loss_llm': 5.125, 'loss_attention': 0.0, 'loss_itaa': 0.048751622438430786, 'epoch': 0.01}
{'loss_mask': 3.8666133880615234, 'loss_dice': 48.59035110473633, 'loss_llm': 5.40625, 'loss_attention': 0.0, 'loss_itaa': 0.05103887617588043, 'epoch': 0.01}
{'loss_mask': 16.93645477294922, 'loss_dice': 49.68352127075195, 'loss_llm': 4.78125, 'loss_attention': 0.0, 'loss_itaa': 0.05128830298781395, 'epoch': 0.01}
{'loss_mask': 8.498369216918945, 'loss_dice': 49.6006965637207, 'loss_llm': 5.09375, 'loss_attention': 0.0, 'loss_itaa': 0.050076816231012344, 'epoch': 0.01}
{'loss_mask': 21.14181137084961, 'loss_dice': 45.853824615478516, 'loss_llm': 5.40625, 'loss_attention': 0.0, 'loss_itaa': 0.053246933966875076, 'epoch': 0.01}
{'loss_mask': 1.7151820659637451, 'loss_dice': 49.25189208984375, 'loss_llm': 5.4375, 'loss_attention': 0.0, 'loss_itaa': 0.047963958233594894, 'epoch': 0.01}
{'loss_mask': 8.632773399353027, 'loss_dice': 47.696590423583984, 'loss_llm': 5.59375, 'loss_attention': 0.0, 'loss_itaa': 0.0517725870013237, 'epoch': 0.01}
{'loss_mask': 38.92760467529297, 'loss_dice': 49.779300689697266, 'loss_llm': 5.59375, 'loss_attention': 0.0, 'loss_itaa': 0.05132492631673813, 'epoch': 0.01}
{'loss_mask': 7.716266632080078, 'loss_dice': 48.54029083251953, 'loss_llm': 5.03125, 'loss_attention': 0.0, 'loss_itaa': 0.05657903850078583, 'epoch': 0.01}
{'loss': 66.8016, 'grad_norm': 158.33174218164655, 'learning_rate': 1.5555555555555555e-05, 'epoch': 0.01}
{'loss_mask': 8.276817321777344, 'loss_dice': 48.27357482910156, 'loss_llm': 4.71875, 'loss_attention': 0.0, 'loss_itaa': 0.05467582121491432, 'epoch': 0.01}
{'loss_mask': 2.674980640411377, 'loss_dice': 49.73375701904297, 'loss_llm': 4.84375, 'loss_attention': 0.0, 'loss_itaa': 0.05015609785914421, 'epoch': 0.01}
{'loss_mask': 14.226616859436035, 'loss_dice': 44.004276275634766, 'loss_llm': 4.71875, 'loss_attention': 0.0, 'loss_itaa': 0.05272389203310013, 'epoch': 0.01}
{'loss_mask': 4.253896236419678, 'loss_dice': 48.876747131347656, 'loss_llm': 5.0625, 'loss_attention': 0.0, 'loss_itaa': 0.059231363236904144, 'epoch': 0.01}
{'loss_mask': 48.102352142333984, 'loss_dice': 33.60704803466797, 'loss_llm': 5.125, 'loss_attention': 0.0, 'loss_itaa': 0.04835338145494461, 'epoch': 0.01}
{'loss_mask': 30.537200927734375, 'loss_dice': 28.139728546142578, 'loss_llm': 5.5625, 'loss_attention': 0.0, 'loss_itaa': 0.053606290370225906, 'epoch': 0.01}
{'loss_mask': 5.566830635070801, 'loss_dice': 49.76161193847656, 'loss_llm': 5.15625, 'loss_attention': 0.0, 'loss_itaa': 0.04960399866104126, 'epoch': 0.01}
{'loss_mask': 8.082951545715332, 'loss_dice': 47.58747100830078, 'loss_llm': 5.15625, 'loss_attention': 0.0, 'loss_itaa': 0.05381156876683235, 'epoch': 0.01}
{'loss_mask': 19.284807205200195, 'loss_dice': 48.4192008972168, 'loss_llm': 5.28125, 'loss_attention': 0.0, 'loss_itaa': 0.05115482583642006, 'epoch': 0.01}
{'loss_mask': 4.068294048309326, 'loss_dice': 48.426910400390625, 'loss_llm': 4.8125, 'loss_attention': 0.0, 'loss_itaa': 0.05689411610364914, 'epoch': 0.01}
{'loss': 64.2873, 'grad_norm': 679.8438272092578, 'learning_rate': 1.777777777777778e-05, 'epoch': 0.01}
{'loss_mask': 3.743925094604492, 'loss_dice': 48.956417083740234, 'loss_llm': 5.375, 'loss_attention': 0.0, 'loss_itaa': 0.050693441182374954, 'epoch': 0.01}
{'loss_mask': 7.278173923492432, 'loss_dice': 49.811363220214844, 'loss_llm': 5.0625, 'loss_attention': 0.0, 'loss_itaa': 0.05132405459880829, 'epoch': 0.01}
{'loss_mask': 8.91124153137207, 'loss_dice': 49.39581298828125, 'loss_llm': 4.53125, 'loss_attention': 0.0, 'loss_itaa': 0.04734725132584572, 'epoch': 0.01}
{'loss_mask': 1.62548828125, 'loss_dice': 48.58015823364258, 'loss_llm': 4.75, 'loss_attention': 0.0, 'loss_itaa': 0.058489471673965454, 'epoch': 0.01}
{'loss_mask': 2.312385320663452, 'loss_dice': 49.799251556396484, 'loss_llm': 5.375, 'loss_attention': 0.0, 'loss_itaa': 0.052583202719688416, 'epoch': 0.01}
{'loss_mask': 78.21302795410156, 'loss_dice': 33.202213287353516, 'loss_llm': 5.3125, 'loss_attention': 0.0, 'loss_itaa': 0.04881950840353966, 'epoch': 0.01}
{'loss_mask': 2.380791187286377, 'loss_dice': 49.17071533203125, 'loss_llm': 5.53125, 'loss_attention': 0.0, 'loss_itaa': 0.05205448344349861, 'epoch': 0.01}
{'loss_mask': 2.8370048999786377, 'loss_dice': 49.30949020385742, 'loss_llm': 4.34375, 'loss_attention': 0.0, 'loss_itaa': 0.0504424087703228, 'epoch': 0.01}
{'loss_mask': 20.750967025756836, 'loss_dice': 49.777587890625, 'loss_llm': 5.21875, 'loss_attention': 0.0, 'loss_itaa': 0.05030949413776398, 'epoch': 0.01}
{'loss_mask': 2.3395488262176514, 'loss_dice': 49.582801818847656, 'loss_llm': 4.34375, 'loss_attention': 0.0, 'loss_itaa': 0.053475987166166306, 'epoch': 0.01}
{'loss': 65.8338, 'grad_norm': 144.54965903665183, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss_mask': 115.79593658447266, 'loss_dice': 46.9305305480957, 'loss_llm': 4.46875, 'loss_attention': 0.0, 'loss_itaa': 0.043348029255867004, 'epoch': 0.01}
{'loss_mask': 30.21680450439453, 'loss_dice': 47.654701232910156, 'loss_llm': 4.3125, 'loss_attention': 0.0, 'loss_itaa': 0.048643987625837326, 'epoch': 0.01}
